"Rank","Triples","HomeRuns","StolenBases","BaseOnBalls","Strikeouts","BattingAverage","OnBasePercentage","SluggingPercentage","OnBasePlusSlugging","IntentionalWalks","GamesStarted","BattingStats","DefenseStats","WinsAboveReplacement","Top100Status"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,67,-0.3,"No"
17,0,1,0,9,25,0.175,0.245,0.247,0.493,1,21,72,70,-0.7,"No"
19,1,1,2,6,24,0.25,0.31,0.4,0.71,1,20,22,20,0.4,"No"
20,0,1,0,3,16,0.151,0.211,0.245,0.456,0,14,23,23,-0.5,"No"
15,1,1,1,7,28,0.288,0.331,0.417,0.748,1,30,53,39,0.1,"No"
18,1,3,1,9,17,0.178,0.257,0.367,0.624,0,20,52,26,0.2,"No"
55,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,9,-0.2,"No"
24,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,6,-0.2,"No"
36,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,4,-0.2,"No"
22,0,0,0,1,29,0.082,0.097,0.082,0.179,0,33,32,33,1.8,"No"
28,0,0,0,0,20,0.13,0.13,0.148,0.278,0,29,29,30,1.6,"No"
29,0,1,0,1,12,0.149,0.167,0.234,0.401,0,26,25,26,1.1,"No"
26,0,0,0,0,13,0.135,0.135,0.162,0.297,0,20,21,22,-1.1,"No"
28,0,0,0,0,23,0.071,0.071,0.089,0.161,0,31,29,31,1.4,"No"
35,0,0,0,0,3,0.286,0.286,0.286,0.571,0,4,4,4,0.4,"No"
22,0,0,0,1,18,0.167,0.184,0.188,0.371,0,29,28,29,0.6,"No"
29,0,0,0,0,23,0.089,0.089,0.107,0.196,0,28,28,28,0.9,"No"
28,0,0,0,0,3,0,0,0,0,0,22,2,22,-0.9,"No"
36,0,0,0,0,1,0,0,0,0,0,0,67,70,-0.1,"No"
38,0,0,0,0,0,0,0,0,0,0,0,28,32,-1.1,"No"
34,0,0,0,0,0,0,0,0,0,0,0,68,70,0.9,"No"
39,0,0,0,0,0,0,0,0,0,0,0,75,78,-0.9,"No"
11,1,7,6,35,49,0.275,0.381,0.425,0.806,1,57,65,59,1,"No"
7,3,8,9,24,84,0.192,0.259,0.338,0.597,0,78,81,81,0.7,"No"
11,0,1,4,36,56,0.215,0.341,0.274,0.615,0,59,69,65,0.4,"No"
7,3,11,13,34,66,0.256,0.323,0.398,0.721,2,95,97,97,1.4,"No"
8,1,8,3,30,68,0.217,0.281,0.336,0.617,1,92,123,119,-0.2,"No"
10,0,15,10,51,67,0.266,0.372,0.475,0.847,0,76,88,84,3.9,"No"
7,3,27,11,90,111,0.248,0.366,0.467,0.833,1,131,137,131,4.4,"57"
12,0,12,1,31,72,0.235,0.325,0.443,0.769,0,56,59,58,1.3,"No"
7,2,6,4,41,38,0.225,0.379,0.414,0.793,1,49,54,50,0.7,"No"
16,0,4,0,14,30,0.194,0.294,0.333,0.627,0,30,32,32,-0.3,"No"
6,2,8,10,62,109,0.216,0.33,0.313,0.642,3,110,130,126,1.5,"No"
19,0,1,0,7,20,0.188,0.263,0.261,0.524,0,20,28,25,-0.5,"No"
12,2,2,5,12,19,0.315,0.386,0.492,0.878,0,32,33,33,1.6,"No"
3,6,26,14,52,86,0.302,0.36,0.522,0.882,7,151,156,153,5.1,"33"
3,1,11,1,29,48,0.291,0.356,0.462,0.818,2,82,87,84,1.1,"No"
3,3,10,4,28,92,0.244,0.287,0.367,0.654,0,125,133,123,-0.9,"No"
10,0,6,7,31,54,0.23,0.295,0.345,0.64,0,73,116,79,0,"No"
12,0,2,0,11,16,0.218,0.287,0.29,0.577,2,30,47,44,-0.4,"No"
5,0,8,4,30,43,0.283,0.359,0.421,0.78,0,71,78,74,1.6,"No"
17,1,1,0,11,13,0.132,0.25,0.235,0.485,0,15,34,18,-0.7,"No"
13,0,2,4,16,31,0.263,0.324,0.361,0.685,0,53,55,55,0.6,"No"
3,0,36,6,42,98,0.286,0.33,0.499,0.829,1,157,158,156,5.8,"29"
3,0,26,2,41,85,0.205,0.271,0.394,0.665,2,138,138,137,1,"No"
3,1,6,16,23,53,0.225,0.27,0.313,0.584,1,101,104,104,-0.9,"No"
15,0,4,0,9,42,0.179,0.263,0.345,0.608,0,24,27,27,-0.3,"No"
8,3,52,9,127,208,0.284,0.422,0.627,1.049,11,151,155,141,8,"29"
