Rank,Player,Team,Position,Year
77,Aaron Nola,PHI,SP,2022
78,Tommy Edman,STL,2B,2022
79,Josh Bell,SD,1B,2022
79,Cristian Javier,HOU,SP,2022
81,Cedric Mullins,BAL,CF,2022
82,Jordan Romano,TOR,RP,2022
83,Kyle Wright,ATL,SP,2022
84,Martin Perez,TEX,SP,2022
85,Alejandro Kirk,TOR,C,2022
86,Bobby Witt Jr.,KC,SS,2022
87,Matt Chapman,TOR,3B,2022
88,Kenley Jansen,ATL,RP,2022
89,Rowdy Tellez,MIL,1B,2022
90,Liam Hendriks,CHW,RP,2022
90,Triston McKenzie,CLE,SP,2022
92,Evan Phillips,LAD,RP,2022
93,Ty France,SEA,1B,2022
94,Justin Turner,LAD,3B,2022
95,Brandon Woodruff,MIL,SP,2022
96,Anthony Rizzo,NYY,1B,2022
97,Taylor Ward,LAA,RF,2022
98,Ian Happ,CHC,LF,2022
99,Bryan Reynolds,PIT,CF,2022
100,Jason Adam,TB,RP,2022
1,Ronald Acuna Jr.,ATL,RF,2023
2,Mookie Betts,LAD,RF,2023
3,Freddie Freeman,LAD,1B,2023
4,Matt Olson,ATL,1B,2023
5,Kyle Tucker,HOU,RF,2023
6,Gerrit Cole,NYY,SP,2023
7,Juan Soto,SD,LF,2023
8,Austin Riley,ATL,3B,2023
9,Corey Seager,TEX,SS,2023
10,Marcus Semien,TEX,2B,2023
11,Blake Snell,SD,SP,2023
12,Julio Rodriguez,SEA,CF,2023
13,Yandy Diaz,TB,1B,2023
13,Ozzie Albies,ATL,2B,2023
15,Corbin Carroll,ARI,LF,2023
16,Alex Bregman,HOU,3B,2023
17,Kyle Schwarber,PHI,LF,2023
18,Zac Gallen,ARI,SP,2023
19,Francisco Lindor,NYM,SS,2023
20,Bobby Witt Jr.,KC,SS,2023
21,Adolis Garcia,TEX,RF,2023
22,Justin Steele,CHC,SP,2023
23,Rafael Devers,BOS,3B,2023
24,Christian Yelich,MIL,LF,2023
25,Yordan Alvarez,HOU,LF,2023
26,Luis Castillo,SEA,SP,2023
27,Pete Alonso,NYM,1B,2023
28,Cody Bellinger,CHC,CF,2023
29,Kyle Bradish,BAL,SP,2023
30,Adley Rutschman,BAL,C,2023
31,Clayton Kershaw,LAD,SP,2023
32,Jose Ramirez,CLE,3B,2023
33,William Contreras,MIL,C,2023
34,Kodai Senga,NYM,SP,2023
35,Max Muncy,LAD,3B,2023
36,Kevin Gausman,TOR,SP,2023
37,Logan Webb,SF,SP,2023
38,Devin Williams,MIL,RP,2023
39,Trea Turner,PHI,SS,2023
40,Zack Wheeler,PHI,SP,2023
41,Luis Arraez,MIA,2B,2023
42,Marcell Ozuna,ATL,DH,2023
42,Nico Hoerner,CHC,2B,2023
44,Ketel Marte,ARI,2B,2023
45,Nathaniel Lowe,TEX,1B,2023
46,Sonny Gray,MIN,SP,2023
47,Christian Walker,ARI,1B,2023
48,Spencer Strider,ATL,SP,2023
49,Zach Eflin,TB,SP,2023
50,Felix Bautista,BAL,RP,2023
51,Corbin Burnes,MIL,SP,2023
52,Randy Arozarena,TB,LF,2023
53,Nick Castellanos,PHI,RF,2023
54,George Kirby,SEA,SP,2023
55,Merrill Kelly,ARI,SP,2023
56,Lane Thomas,WSH,RF,2023
57,J.P. Crawford,SEA,SS,2023
58,Ian Happ,CHC,LF,2023
59,Bryce Harper,PHI,DH,2023
60,Paul Goldschmidt,STL,1B,2023
61,Chris Bassitt,TOR,SP,2023
62,Gunnar Henderson,BAL,3B,2023
63,Jordan Montgomery,TEX,SP,2023
64,Framber Valdez,HOU,SP,2023
65,Aaron Judge,NYY,RF,2023
66,Brandon Nimmo,NYM,CF,2023
66,Michael Wacha,SD,SP,2023
66,Isaac Paredes,TB,3B,2023
69,Justin Verlander,HOU,SP,2023
70,Josh Hader,SD,RP,2023
71,Spencer Torkelson,DET,1B,2023
72,Anthony Santander,BAL,RF,2023
73,Vladimir Guerrero Jr.,TOR,1B,2023
74,Xander Bogaerts,SD,SS,2023
75,David Bednar,PIT,RP,2023
76,Tanner Bibee,CLE,SP,2023
77,Spencer Steer,CIN,1B,2023
78,Justin Turner,BOS,DH,2023
79,Pablo Lopez,MIN,SP,2023
80,Shohei Ohtani,LAA,DH,2023
81,Evan Phillips,LAD,RP,2023
82,Eduardo Rodriguez,DET,SP,2023
83,Alexis Diaz,CIN,RP,2023
84,Gleyber Torres,NYY,2B,2023
85,Jose Altuve,HOU,2B,2023
86,Luis Robert Jr.,CHW,CF,2023
87,Logan Gilbert,SEA,SP,2023
88,Bo Bichette,TOR,SS,2023
89,Seiya Suzuki,CHC,RF,2023
90,Fernando Tatis Jr.,SD,RF,2023
91,Shane McClanahan,TB,SP,2023
92,Steven Kwan,CLE,LF,2023
93,Teoscar Hernandez,SEA,RF,2023
94,Eugenio Suarez,SEA,3B,2023
95,Will Smith,LAD,C,2023
96,Jesus Luzardo,MIA,SP,2023
97,Jorge Soler,MIA,DH,2023
98,Alec Bohm,PHI,1B,2023
98,Bryce Elder,ATL,SP,2023
100,Camilo Doval,SF,RP,2023
